Timestamp,City,Direction,Distance
2024-07-18 17:04:15,karlsruhe,right,1.53m
2024-07-18 17:04:15,karlsruhe,right,1.51m
2024-07-18 17:04:15,karlsruhe,right,1.53m
2024-07-18 17:04:15,karlsruhe,right,1.51m
2024-07-18 17:04:16,karlsruhe,right,1.51m
2024-07-18 17:04:16,karlsruhe,right,1.51m
2024-07-18 17:04:16,karlsruhe,right,1.53m
2024-07-18 17:04:16,karlsruhe,right,1.47m
2024-07-18 17:04:16,karlsruhe,right,1.43m
2024-07-18 17:04:16,karlsruhe,right,1.39m
2024-07-18 17:04:16,karlsruhe,right,1.45m
2024-07-18 17:04:16,karlsruhe,right,1.37m
2024-07-18 17:04:16,karlsruhe,right,1.41m
2024-07-18 17:04:16,karlsruhe,right,1.43m
2024-07-18 17:04:17,karlsruhe,right,1.33m
2024-07-18 17:04:17,karlsruhe,right,1.19m
2024-07-18 17:04:17,karlsruhe,right,1.30m
2024-07-18 17:04:18,karlsruhe,right,1.45m
2024-07-18 17:04:18,karlsruhe,right,1.45m
2024-07-18 17:04:18,karlsruhe,right,1.49m
2024-07-18 17:04:18,karlsruhe,right,1.51m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:18,karlsruhe,right,1.47m
2024-07-18 17:04:19,karlsruhe,right,1.51m
2024-07-18 17:04:19,karlsruhe,right,1.51m
2024-07-18 17:04:19,karlsruhe,right,1.49m
2024-07-18 17:04:19,karlsruhe,right,1.49m
2024-07-18 17:04:19,karlsruhe,right,1.49m
2024-07-18 17:04:19,karlsruhe,right,1.49m
2024-07-18 17:04:19,karlsruhe,right,1.49m
2024-07-18 17:04:19,karlsruhe,right,1.51m
2024-07-18 17:04:20,karlsruhe,right,1.49m
2024-07-18 17:04:20,karlsruhe,right,1.13m
2024-07-18 17:04:20,karlsruhe,right,1.03m
2024-07-18 17:04:20,karlsruhe,right,1.05m
2024-07-18 17:04:20,karlsruhe,right,1.03m
2024-07-18 17:04:21,karlsruhe,right,1.04m
2024-07-18 17:04:21,karlsruhe,right,1.04m
2024-07-18 17:04:21,karlsruhe,right,1.04m
2024-07-18 17:04:21,karlsruhe,right,1.03m
2024-07-18 17:04:21,karlsruhe,right,1.03m
2024-07-18 17:04:21,karlsruhe,right,1.06m
2024-07-18 17:04:21,karlsruhe,right,1.05m
2024-07-18 17:04:21,karlsruhe,right,1.02m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.04m
2024-07-18 17:04:22,karlsruhe,right,1.07m
2024-07-18 17:04:23,karlsruhe,right,1.05m
2024-07-18 17:04:23,karlsruhe,right,1.04m
2024-07-18 17:04:23,karlsruhe,right,1.04m
2024-07-18 17:04:23,karlsruhe,right,1.05m
2024-07-18 17:04:23,karlsruhe,right,1.05m
2024-07-18 17:04:23,karlsruhe,right,1.05m
2024-07-18 17:04:23,karlsruhe,right,1.05m
2024-07-18 17:04:23,karlsruhe,right,1.02m
2024-07-18 17:04:23,karlsruhe,right,1.02m
2024-07-18 17:04:23,karlsruhe,right,1.03m
2024-07-18 17:04:23,karlsruhe,right,0.07m
2024-07-18 17:04:24,karlsruhe,right,1.07m
2024-07-18 17:04:24,karlsruhe,right,1.04m
2024-07-18 17:04:24,karlsruhe,right,1.07m
2024-07-18 17:04:24,karlsruhe,right,1.04m
2024-07-18 17:04:24,karlsruhe,right,1.05m
2024-07-18 17:04:24,karlsruhe,right,1.06m
2024-07-18 17:04:24,karlsruhe,right,1.05m
2024-07-18 17:04:25,karlsruhe,right,1.05m
2024-07-18 17:04:25,karlsruhe,right,1.06m
2024-07-18 17:04:25,karlsruhe,right,1.06m
2024-07-18 17:04:25,karlsruhe,right,1.06m
2024-07-18 17:04:25,karlsruhe,right,1.18m
2024-07-18 17:04:25,karlsruhe,right,1.18m
2024-07-18 17:04:25,karlsruhe,right,1.18m
2024-07-18 17:04:25,karlsruhe,right,1.18m
2024-07-18 17:04:25,karlsruhe,right,0.83m
2024-07-18 17:04:25,karlsruhe,right,0.80m
2024-07-18 17:04:25,karlsruhe,right,0.80m
2024-07-18 17:04:25,karlsruhe,right,0.80m
2024-07-18 17:04:26,karlsruhe,right,1.19m
2024-07-18 17:04:26,karlsruhe,right,1.19m
2024-07-18 17:04:26,karlsruhe,right,1.22m
2024-07-18 17:04:26,karlsruhe,right,1.22m
2024-07-18 17:04:26,karlsruhe,right,1.22m
2024-07-18 17:04:26,karlsruhe,right,0.20m
2024-07-18 17:04:26,karlsruhe,right,0.20m
2024-07-18 17:04:26,karlsruhe,right,0.20m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.22m
2024-07-18 17:04:27,karlsruhe,right,0.44m
2024-07-18 17:04:27,karlsruhe,right,0.44m
2024-07-18 17:04:27,karlsruhe,right,0.41m
2024-07-18 17:04:27,karlsruhe,right,0.41m
2024-07-18 17:04:28,karlsruhe,right,0.41m
2024-07-18 17:04:28,karlsruhe,right,0.41m
2024-07-18 17:04:28,karlsruhe,right,0.41m
2024-07-18 17:04:28,karlsruhe,right,0.41m
2024-07-18 17:04:28,karlsruhe,right,0.34m
2024-07-18 17:04:28,karlsruhe,right,0.34m
2024-07-18 17:04:28,karlsruhe,right,0.34m
2024-07-18 17:04:28,karlsruhe,right,0.37m
2024-07-18 17:04:28,karlsruhe,right,0.37m
2024-07-18 17:04:28,karlsruhe,right,0.37m
2024-07-18 17:04:28,karlsruhe,right,0.36m
2024-07-18 17:04:29,karlsruhe,right,0.37m
2024-07-18 17:04:29,karlsruhe,right,0.37m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:30,karlsruhe,right,0.30m
2024-07-18 17:04:31,karlsruhe,right,0.30m
2024-07-18 17:04:31,karlsruhe,right,0.30m
2024-07-18 17:04:31,karlsruhe,right,0.30m
2024-07-18 17:04:31,karlsruhe,right,0.30m
2024-07-18 17:04:31,karlsruhe,right,0.17m
